l,omega_peak,gamma,peak_rms_over_peak,peak_r2,peak_fit_points,qnm_real,qnm_imag_abs,pi_Tfit,Tfit_over_TH_minus_1_abs,tail_rms_log,tail_intercept,tail_slope,tail_omega_min,tail_omega_max,max_T1,max_balance
0,1.299158285507e-01,7.792505716278e-02,1.359287250739e-02,9.973969678213e-01,10,1.123809367925e-01,1.021831690747e-01,1.122600551442e-01,3.245279496954e-02,4.505283934972e-02,2.205105031573e+00,-2.798495555303e+01,1.800000000000e-01,6.000000000000e-01,1.130054838794e-01,4.296840661056e-12
1,3.100053945015e-01,5.974600417522e-02,1.233958943739e-02,9.978638261567e-01,7,2.979304485000e-01,9.536419532561e-02,1.042534376419e-01,1.014602471402e-01,4.870701012042e-02,8.077958633087e+00,-3.013418765509e+01,3.800000000000e-01,8.500000000000e-01,1.271365980124e-01,3.898349159859e-05
2,5.022009198307e-01,6.111916262803e-02,5.709673110060e-03,9.991034352725e-01,5,4.919624027336e-01,9.463015619115e-02,1.002717413157e-01,1.357777000114e-01,3.820647316629e-02,1.446047903924e+01,-3.133078784080e+01,6.200000000000e-01,1.000000000000e+00,1.162558687822e-01,1.180700339609e-04
