label,l_source,l_target,m,a,omega,N_outer,N_inner,r_match,quad_order,tail_epsrel,angular_coupling,angular_coupling_cos2,abs_angular_coupling,abs_angular_coupling_cos2,B_inc_source,B_ref_source,B_inc_target,B_ref_target,wronskian_relative_error,A_ref_1,A_hor_1,abs_A_ref_1,abs_A_hor_1,abs_delta_A_ref_to_reference,abs_delta_A_hor_to_reference,rel_A_ref_to_reference,rel_A_hor_to_reference,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a05_l2m2_super,2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,224,224,4.0000000000000000e+01,224,9.9999999999999994e-12,1.1364413397770708e-01+0.0000000000000000e+00j,1.0340582475739419e-02+0.0000000000000000e+00j,1.1364413397770708e-01,1.0340582475739419e-02,1.3577064330056950e+02-8.1002024048607325e+01j,1.1650637078242157e+02+1.0686843468419823e+02j,1.3577064330056950e+02-8.1002024048607325e+01j,1.1650637078242157e+02+1.0686843468419823e+02j,7.4905278303020175e-17,-7.6874385518107365e+05+8.3805546431400871e+05j,1.2394652179448126e+03+3.5967850236055251e+03j,1.1372352773921622e+06,3.8043575715918159e+03,4.3381258216507916e+01,9.1584761560649716e-05,3.8144827111654868e-05,2.4073646704308819e-08,6.553071e+00,8.023047e+01,8.391016e+01,ok
kerr_a05_l2m2_super,2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.0000000000000000e+01,224,9.9999999999999994e-12,1.1364413397770708e-01+0.0000000000000000e+00j,1.0340582475739419e-02+0.0000000000000000e+00j,1.1364413397770708e-01,1.0340582475739419e-02,1.3577067094627927e+02-8.1001977293250405e+01j,1.1650640668148205e+02+1.0686839523138181e+02j,1.3577067094627927e+02-8.1001977293250405e+01j,1.1650640668148205e+02+1.0686839523138181e+02j,1.4981055683030401e-16,-7.6876571341078868e+05+8.3809283801411360e+05j,1.2394653230829283e+03+3.5967850047977363e+03j,1.1372775946296270e+06,3.8043575880643662e+03,2.7867233470549979e-01,5.6747836968644975e-05,2.4503457172889231e-07,1.4916535842179278e-08,7.514704e+00,8.391016e+01,8.459766e+01,ok
kerr_a05_l2m2_super,2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,1.1364413397770708e-01+0.0000000000000000e+00j,1.0340582475739419e-02+0.0000000000000000e+00j,1.1364413397770708e-01,1.0340582475739419e-02,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,2.9962111126158987e-16,-7.6876552651293564e+05+8.3809304472033668e+05j,1.2394653028934579e+03+3.5967850578326520e+03j,1.1372776206200996e+06,3.8043576316278422e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.511403e+00,8.459766e+01,8.530469e+01,ok
kerr_a05_l2m2_super,2,4,2,5.0000000000000000e-01,2.9999999999999999e-01,224,224,4.0000000000000000e+01,224,9.9999999999999994e-12,-3.5778291844825894e-02+0.0000000000000000e+00j,5.5133357402636441e-03+0.0000000000000000e+00j,3.5778291844825894e-02,5.5133357402636441e-03,1.3577064330056950e+02-8.1002024048607325e+01j,1.1650637078242157e+02+1.0686843468419823e+02j,-4.6886163935123786e+05-2.5012354636894988e+03j,-4.3665082056409772e+05-1.7080267543077233e+05j,1.5356479032547336e-16,3.8408524606841866e+03-1.3063852993218348e+04j,-1.4145275851595660e+00+1.3675034157336197e-01j,1.3616769170884985e+04,1.4211224243877740e+00,1.5520892673326527e+00,1.0167196516440034e-01,1.1398737661602787e-04,7.7055948313158526e-02,7.828905e+00,8.539844e+01,8.518750e+01,ok
kerr_a05_l2m2_super,2,4,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.0000000000000000e+01,224,9.9999999999999994e-12,-3.5778291844825894e-02+0.0000000000000000e+00j,5.5133357402636441e-03+0.0000000000000000e+00j,3.5778291844825894e-02,5.5133357402636441e-03,1.3577067094627927e+02-8.1001977293250405e+01j,1.1650640668148205e+02+1.0686839523138181e+02j,-4.6886449957292044e+05-2.4970793393708482e+03j,-4.3665509920563700e+05-1.7079952781644053e+05j,2.2069438484836843e-16,3.8393088398299515e+03-1.3063846018388087e+04j,-1.3225732294128509e+00+1.2878648675736293e-01j,1.3616327153816139e+04,1.3288287723897469e+00,8.5378416704942981e-03,9.3734905931213298e-03,6.2702976849724379e-07,7.1040547459619349e-03,9.163354e+00,8.519141e+01,8.529297e+01,ok
kerr_a05_l2m2_super,2,4,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,-3.5778291844825894e-02+0.0000000000000000e+00j,5.5133357402636441e-03+0.0000000000000000e+00j,3.5778291844825894e-02,5.5133357402636441e-03,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,-4.6885444523350574e+05-2.5122748928246701e+03j,-4.3664033565488772e+05-1.7080989321216565e+05j,2.2069907919831400e-16,3.8393003822788819e+03-1.3063847186536321e+04j,-1.3132309195495149e+00+1.2802256770618814e-01j,1.3616325889847807e+04,1.3194564130364255e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.915547e+00,8.529297e+01,8.605469e+01,ok
kerr_a05_l2m2_super,2,6,2,5.0000000000000000e-01,2.9999999999999999e-01,224,224,4.0000000000000000e+01,224,9.9999999999999994e-12,5.3408519719596080e-03+0.0000000000000000e+00j,-5.3643091624688832e-03+0.0000000000000000e+00j,5.3408519719596080e-03,5.3643091624688832e-03,1.3577064330056950e+02-8.1002024048607325e+01j,1.1650637078242157e+02+1.0686843468419823e+02j,3.1413111607501903e+09+1.1597092733002396e+09j,3.2797104765747576e+09+6.7547064857006395e+08j,2.4463974726897376e-16,-6.0947944848345983e+01+2.2645752004281403e+03j,3.8808366130576519e-07+2.7462794413851395e-07j,2.2653952172579930e+03,4.7542553136557005e-07,1.3163358041488014e-03,6.2890043216455498e-08,5.8106231100026259e-07,1.1682801977477181e-01,7.338505e+00,8.607812e+01,8.584375e+01,ok
kerr_a05_l2m2_super,2,6,2,5.0000000000000000e-01,2.9999999999999999e-01,256,256,4.0000000000000000e+01,224,9.9999999999999994e-12,5.3408519719596080e-03+0.0000000000000000e+00j,-5.3643091624688832e-03+0.0000000000000000e+00j,5.3408519719596080e-03,5.3643091624688832e-03,1.3577067094627927e+02-8.1001977293250405e+01j,1.1650640668148205e+02+1.0686839523138181e+02j,2.9264750224444909e+09+1.2852388897277412e+09j,3.0861312364502845e+09+8.3179868481836963e+08j,1.3899570758816142e-16,-6.0947182463332979e+01+2.2645752081967676e+03j,1.6573538344632330e-06-3.2388517216215021e-08j,2.2653952045128135e+03,1.6576702774247499e-06,5.5598923003141265e-04,1.2649366694982139e-06,2.4542702999878998e-07,2.3498162615239533e+00,8.088325e+00,8.584766e+01,8.604297e+01,ok
kerr_a05_l2m2_super,2,6,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,5.3408519719596080e-03+0.0000000000000000e+00j,-5.3643091624688832e-03+0.0000000000000000e+00j,5.3408519719596080e-03,5.3643091624688832e-03,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,3.6960449467921305e+09+6.0435830338331378e+08j,3.7448806372075076e+09+4.3199775965147778e+07j,5.3050804623394960e-17,-6.0946630736134765e+01+2.2645752769071937e+03j,4.3976657427265735e-07+3.1046136489378500e-07j,2.2653952583550140e+03,5.3831301204709935e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.693765e+00,8.604297e+01,8.738672e+01,ok
