l,m,a,omega,N,r_match,quad_order,tail_epsrel,radial_lambda,angular_coupling,angular_coupling_cos2,B_inc,B_ref,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,flux_normalization_condition_number,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
2,0,0.0000000000000000e+00,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0000000000000000e+00,1.7052315331274759e-01+0.0000000000000000e+00j,1.2573929486697630e-01+0.0000000000000000e+00j,-1.6753420750717833e+00-1.5940447420493808e+00j,-5.0669124513945407e-01+1.0445160076583293e+00j,7.4797816245881343e-01,2.5202183754013191e-01,-1.0547118733938987e-12,8.9439460546045554e-02,-8.9439460545668314e-02,3.7723990597982038e-13,3.7723990597982038e-13,1.6738748540767823e+00,2.6113575701113507e-16,1.550594e+00,7.757812e+01,8.514453e+01,ok
2,0,5.0000000000000003e-02,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0003219094003981e+00,1.7052042826050207e-01+0.0000000000000000e+00j,1.2573513498917416e-01+0.0000000000000000e+00j,-1.6718297079870650e+00-1.5976242531354592e+00j,9.7000861493011548e-01+6.3953317199322113e-01j,7.4755677694999401e-01,2.5244322304017375e-01,-9.8322461283828488e-12,8.9574150372647640e-02,-8.9574150373737740e-02,-1.0901002323038256e-12,1.0901002323038256e-12,1.6753820734976494e+00,3.3289441005352576e-16,1.895349e+00,8.514453e+01,8.529688e+01,ok
2,0,1.0000000000000001e-01,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0012876932706050e+00,1.7051225017764307e-01+0.0000000000000000e+00j,1.2572265102230035e-01+0.0000000000000000e+00j,-1.6612046812732943e+00-1.6083653666049049e+00j,9.6811675589532498e-01+6.4746831454515741e-01j,7.4628627003577142e-01,2.5371372996797614e-01,3.7476688419246784e-12,8.9979391155333641e-02,-8.9979391154839578e-02,4.9406312374600247e-13,4.9406312374600247e-13,1.6799367485538468e+00,0.0000000000000000e+00,2.036610e+00,8.529688e+01,8.443750e+01,ok
2,0,2.0000000000000001e-01,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0051516642098495e+00,1.7047949397957604e-01+0.0000000000000000e+00j,1.2567265017545609e-01+0.0000000000000000e+00j,-1.6173539320478587e+00-1.6513544033418306e+00j,9.5980055770269435e-01+6.7970302496889623e-01j,7.4110728633503387e-01,2.5889271366453392e-01,-4.3220982348657344e-13,9.1617815255236129e-02,-9.1617815255312485e-02,-7.6355588518595141e-14,7.6355588518595141e-14,1.6986646021109146e+00,1.8473628917074537e-16,2.036195e+00,8.443750e+01,8.537500e+01,ok
2,0,2.9999999999999999e-01,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0115945895847016e+00,1.7042474454284104e-01+0.0000000000000000e+00j,1.2558908457055035e-01+0.0000000000000000e+00j,-1.5392067531596223e+00-1.7229682701522799e+00j,9.4306869472010968e-01+7.3520073658027574e-01j,7.3211719742718784e-01,2.6788280256146590e-01,-1.1346257267064175e-11,9.4409542982455560e-02,-9.4409542983770980e-02,-1.3154199951515011e-12,1.3154199951515011e-12,1.7318030596705292e+00,1.8482327657762056e-16,1.968789e+00,8.537500e+01,8.539062e+01,ok
2,0,5.0000000000000000e-01,5.2000000000000002e-01,240,4.0000000000000000e+01,192,9.9999999999999994e-12,6.0322370064448032e+00,1.7024824244319806e-01+0.0000000000000000e+00j,1.2531973957791809e-01+0.0000000000000000e+00j,-1.2396336763323419e+00-1.9480522201644010e+00j,8.5957567962145187e-01+9.2772730230986722e-01j,6.9998713983946115e-01,3.0001286016654305e-01,6.0040861171728466e-12,1.0381407486889294e-01,-1.0381407486771656e-01,1.1763784391050081e-12,1.1763784391050081e-12,1.8571953485828980e+00,0.0000000000000000e+00,1.999909e+00,8.539453e+01,8.541016e+01,ok
