label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,2.0000000000000000e-02,1.3397459621556135e-01,0.0000000000000000e+00,2.0000000000000000e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-1.4009966644165177e+00+2.3174984416459630e+01j,-4.1649280782997513e+00-2.2758822852850553e+01j,6.4783202108453042e+03-1.1748335339407095e+03j,6.5355344315669726e+01+1.4233270010580009e+02j,-1.2493796803017369e-01-5.1103194309249245e-01j,1.1037024840421751e-02-5.8988686559740015e-03j,6.9234790613787889e-03,9.9307652093038112e-01,9.9999999999175992e-01,1.6788516481374999e-03,-1.6788516501276710e-03,-1.9901710487935098e-12,1.9901710487935098e-12,4.4830122334261386e-17,1.602253e+00,7.726172e+01,8.378516e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,4.0000000000000001e-02,1.3397459621556135e-01,0.0000000000000000e+00,4.0000000000000001e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-5.1993607398361630e-01+1.0642357689754805e+01j,-3.1038678164905464e+00-1.0008199862442805e+01j,6.3631344265972132e+02-1.9170296546493509e+02j,1.5120700699385308e+01+3.1789704204983018e+01j,-1.8395515667936552e-01-5.1766292442009443e-01j,2.5638404789039625e-02-1.3767346948818975e-02j,3.2872784003958606e-02,9.6712721598460927e-01,9.9999999998856792e-01,8.7564351859977310e-03,-8.7564351890425454e-03,-3.0448144006101074e-12,3.0448144006101074e-12,0.0000000000000000e+00,1.359250e+00,8.378906e+01,8.496094e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,5.9999999999999998e-02,1.3397459621556135e-01,0.0000000000000000e+00,5.9999999999999998e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,3.4728045589728064e-02+6.5122451320136019e+00j,-2.4004714185643774e+00-5.7372666712941749e+00j,1.4490373452783555e+02-5.6662833783466141e+01j,6.0951703453261414e+00+1.2604664710918604e+01j,-2.0235688092273985e-01-5.2573555556682250e-01j,4.5754399526912286e-02-2.1824934179937475e-02j,8.7998185599010528e-02,9.1200181439794681e-01,9.9999999999695732e-01,2.5293896149495863e-02,-2.5293896150388986e-02,-8.9312238160665913e-13,8.9312238160665913e-13,2.8413325363390714e-16,1.238346e+00,8.496484e+01,8.500781e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,7.4999999999999997e-02,1.3397459621556135e-01,0.0000000000000000e+00,7.4999999999999997e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,3.4654363541526895e-01+4.8990148551926591e+00j,-1.9959693860183654e+00-4.0502462203155867e+00j,6.0865744211138200e+01-2.6710336463708188e+01j,3.5644538306615003e+00+7.4580346337411969e+00j,-1.8866024888896810e-01-5.2843041944410962e-01j,6.4923596145762152e-02-2.5572174064992945e-02j,1.5472565822581311e-01,8.4527434177530336e-01,1.0000000000011164e+00,4.5729886109414676e-02,-4.5729886109079416e-02,3.3525959786118165e-13,3.3525959786118165e-13,1.1302841300019979e-16,1.178543e+00,8.501172e+01,8.503516e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,8.9999999999999997e-02,1.3397459621556135e-01,0.0000000000000000e+00,8.9999999999999997e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,5.9891737532213052e-01+3.8549550517471913e+00j,-1.6647163405002308e+00-2.9522955765709420e+00j,2.9145785671653911e+01-1.3634562240250641e+01j,2.2149237241971789e+00+4.8340477866301983e+00j,-1.5155539672435800e-01-5.2032080581884965e-01j,8.6178960882539193e-02-2.4363197106273351e-02j,2.4521699908077216e-01,7.5478300091159090e-01,9.9999999999236300e-01,7.1374383443241249e-02,-7.1374383446289671e-02,-3.0484226254401392e-12,3.0484226254401392e-12,2.3797605001233162e-16,1.165100e+00,8.503516e+01,8.505078e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,1.1000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.1000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,8.6656881869835645e-01+2.9461739763397952e+00j,-1.3097537104867421e+00-1.9958399300865635e+00j,1.2679343786246273e+01-6.0341000124621544e+00j,1.2228450411502738e+00+2.9929411076559225e+00j,-7.6342099900789037e-02-4.7879216285758514e-01j,1.1105501229088052e-01-1.1345932605559675e-02j,3.9572656763621766e-01,6.0427343234559738e-01,9.9999999998181499e-01,1.0262290192091914e-01,-1.0262290192561430e-01,-4.6951609267154026e-12,4.6951609267154026e-12,0.0000000000000000e+00,1.097405e+00,8.505469e+01,8.507031e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,1.4000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.4000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,1.1601671367796120e+00+2.1321215548454897e+00j,-9.1522553283726271e-01-1.1498876146539456e+00j,4.5837551867403707e+00-2.0121097308625160e+00j,5.0413829321545478e-01+1.6697884938511411e+00j,2.9608651239033515e-02-3.4877034359541065e-01j,1.1940359424990685e-01+2.4840949977566504e-02j,6.3341735865093685e-01,3.6658264134236235e-01,9.9999999999329914e-01,1.0839570060301902e-01,-1.0839570060390612e-01,-8.8709595225111570e-13,8.8709595225111570e-13,1.8263264617429643e-16,1.226338e+00,8.507031e+01,8.508984e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,1.7999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.7999999999999999e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,1.4151277011899177e+00+1.5404412974823742e+00j,-5.6680742652201899e-01-5.6764807344232038e-01j,1.5628956671750709e+00-5.8779971519354546e-01j,1.4796087288212326e-01+8.9882595039929125e-01j,6.8226619672008104e-02-1.6919784957893089e-01j,8.3256137489694557e-02+5.4531553481334899e-02j,8.5293377711859142e-01,1.4706622286950760e-01,9.9999999998809908e-01,5.7684609826327296e-02,-5.7684609826957320e-02,-6.3002381089916071e-13,6.3002381089916071e-13,1.4743195073943855e-16,1.023359e+00,8.509375e+01,8.514453e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,2.3999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.3999999999999999e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,1.6272425022903798e+00+1.0947336940168442e+00j,-2.7418169200707831e-01-1.9782217851920422e-01j,4.3417622960384944e-01-1.6352920434410226e-01j,2.3229445223704896e-02+4.6877370575826049e-01j,3.5654439434016444e-02-5.0113876782056532e-02j,3.7242411311712367e-02+4.9841438933600525e-02j,9.7028119732654450e-01,2.9718802683543745e-02,1.0000000000100882e+00,1.1719700597721264e-02,-1.1719700597811822e-02,-9.0557769616417261e-14,9.0557769616417261e-14,1.1793535709711673e-16,9.463968e-01,8.514844e+01,8.516016e+01,ok
kerr_a0.5_l0m0,0,0,5.0000000000000000e-01,3.2000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.2000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,1.7585823966803786e+00+8.0735111860339048e-01j,-1.0199814578896861e-01-4.4423477379658224e-02j,1.0228600504797929e-01-5.3637065936847916e-02j,2.1570547358823883e-03+2.8485324956121000e-01j,9.7408854073922253e-03-1.2617445241341053e-02j,1.6673153225376519e-02+3.5604141144264086e-02j,9.9669453719772461e-01,3.3054628106919341e-03,1.0000000000084166e+00,1.1483327993899199e-03,-1.1483327994866385e-03,-9.6718640041348891e-14,9.6718640041348891e-14,8.9647363375197867e-17,1.102759e+00,8.516406e+01,8.519141e+01,ok
