l,points,T0_slope,T1_slope,T0_rms_log,T1_rms_log
0,3,2.306989977245e+00,2.459708145157e+00,2.160303739332e-02,2.782119624509e-02
0,4,2.343865590605e+00,2.496185599026e+00,2.981412749154e-02,3.328369275802e-02
0,5,2.370038872705e+00,2.504761570944e+00,3.437974367047e-02,3.060712192431e-02
1,3,4.882869063050e+00,5.025409907272e+00,8.404796980698e-02,9.819219846537e-02
1,4,5.251996774631e+00,5.476677295054e+00,2.176437265172e-01,2.647805026988e-01
1,5,5.505473105032e+00,5.801973433360e+00,2.920297309947e-01,3.662381082488e-01
2,3,7.917787881486e+00,8.069133399217e+00,1.280834912445e-01,1.386249056191e-01
2,4,8.522703501783e+00,8.738802905412e+00,2.994937474805e-01,3.305466374629e-01
2,5,9.048191039657e+00,9.347417782882e+00,4.477503407030e-01,5.099793178292e-01
