s,a,l,m,omega,lambda,method,r_match,B_inc,B_inc_benchmark,B_inc_relerr,B_ref,B_ref_benchmark,B_ref_relerr,benchmark_source,note
-2,0.5,2,2,10.0,-26.85215496939334,chebyshev:n192,20.0,2.4675046858681956e+01-5.0001235570631009e+00j,2.4675049712429978e+01-5.0001332607188900e+00j,4.0174600106152022e-07,-3.0213509860361482e-09-8.7511108389541707e-09j,-6.4579566171517927e-09-8.1445991065750824e-09j,3.3573633834738187e-01,GSN,B_ref is close to the double-precision floor in direct Teukolsky variables.
-2,0.5,2,2,0.1,3.667320713846837,asymptotic-ode:hor3:inf14,200.0,-1.1422820428765065e+05+2.3264531425621785e+05j,-1.1422820426982341e+05+2.3264531432274421e+05j,2.6574099302622158e-10,-4.2729694283663378e+00-1.7946405113145435e+01j,-4.2729694282767561e+00-1.7946405113182301e+01j,5.2510137501323231e-12,Mathematica MST,High-order infinity matching after r_match/order scan.
-2,0.5,2,2,0.0001,3.9996666673280417,asymptotic-ode:hor3:inf6,100000.0,-1.5435348048730600e+20+3.4164322926160642e+20j,-1.5435347274666643e+20+3.4164322422445723e+20j,2.4634410396700945e-08,1.0210782613830439e+04-2.2813768666192511e+04j,1.0210782613860754e+04-2.2813768665968011e+04j,9.0634609377502613e-12,Mathematica MST,Low-frequency MST regime; asymptotic matching is well conditioned.
