label,l_source,l_target,m,a,omega,N_outer,N_inner,r_match,quad_order,tail_epsrel,radial_integral_method,angular_coupling,angular_coupling_cos2,abs_angular_coupling,abs_angular_coupling_cos2,B_inc_source,B_ref_source,B_inc_target,B_ref_target,flux_normalization_condition_number,wronskian_relative_error,A_ref_1,A_hor_1,abs_A_ref_1,abs_A_hor_1,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a05_l2m2_super,2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,phase-channel-fourier-tail,1.1364413397770708e-01+0.0000000000000000e+00j,1.0340582475739419e-02+0.0000000000000000e+00j,1.1364413397770708e-01,1.0340582475739419e-02,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,1.2537597214817462e+05,2.9962111126158987e-16,-7.6876552651293564e+05+8.3809304472033668e+05j,1.2394653028934579e+03+3.5967850578326520e+03j,1.1372776206200996e+06,3.8043576316278422e+03,6.584039e+00,7.716797e+01,8.540625e+01,ok
kerr_a05_l2m2_super,2,3,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,skipped-zero-angular-coupling,0.0000000000000000e+00+0.0000000000000000e+00j,-1.3624486320346218e-18+0.0000000000000000e+00j,0.0000000000000000e+00,1.3624486320346218e-18,,,,,,,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00,0.000000e+00,8.540625e+01,8.507812e+01,skipped-zero-angular-coupling
kerr_a05_l2m2_super,2,4,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,phase-channel-fourier-tail,-3.5778291844825894e-02+0.0000000000000000e+00j,5.5133357402636441e-03+0.0000000000000000e+00j,3.5778291844825894e-02,5.5133357402636441e-03,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,-4.6885444523350574e+05-2.5122748928246701e+03j,-4.3664033565488772e+05-1.7080989321216565e+05j,1.1240408412393481e+12,2.2069907919831400e-16,3.8393003822788819e+03-1.3063847186536321e+04j,-1.3132309195495149e+00+1.2802256770618814e-01j,1.3616325889847807e+04,1.3194564130364255e+00,8.201136e+00,8.507812e+01,8.608203e+01,ok
kerr_a05_l2m2_super,2,5,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,skipped-zero-angular-coupling,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00,,,,,,,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,0.0000000000000000e+00,0.0000000000000000e+00,0.000000e+00,8.608203e+01,8.659375e+01,skipped-zero-angular-coupling
kerr_a05_l2m2_super,2,6,2,5.0000000000000000e-01,2.9999999999999999e-01,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,phase-channel-fourier-tail,5.3408519719596080e-03+0.0000000000000000e+00j,-5.3643091624688832e-03+0.0000000000000000e+00j,5.3408519719596080e-03,5.3643091624688832e-03,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,3.6960449467921305e+09+6.0435830338331378e+08j,3.7448806372075076e+09+4.3199775965147778e+07j,3.2690364911749449e+13,5.3050804623394960e-17,-6.0946630736134765e+01+2.2645752769071937e+03j,4.3976657427265735e-07+3.1046136489378500e-07j,2.2653952583550140e+03,5.3831301204709935e-07,7.002117e+00,8.659766e+01,8.618359e+01,ok
