l,T0_slope,T1_slope,T0_amp,T1_amp
0,2.343865590605e+00,2.496185599026e+00,6.495656415480e+01,2.849434025731e+01
1,5.251996774631e+00,5.476677295054e+00,8.106548390458e+01,2.510815829631e+01
2,8.522703501783e+00,8.738802905412e+00,1.597003663118e+01,3.067881426248e+00
