case,l,m,a,omega,N,branch,subdomain,mapping,r_match,tail_terms,coeff_tail_ratio,max_abs_residual,max_relative_residual,p95_relative_residual,median_relative_residual,max_radial_abs_residual,max_radial_relative_residual,condition
kerr_a05_l2m0_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,240,down,outer,linear,4.0000000000000000e+01,16,2.7994501991315518e-14,2.3440661896010709e-07,1.9161567437142856e-08,1.5658126022359900e-09,5.3329390602738900e-11,3.8146972656250000e-06,2.4818742677913569e-10,2.9982359160373543e+10
kerr_a05_l2m0_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,240,up,outer,linear,4.0000000000000000e+01,16,2.7994501991315518e-14,2.3440661896010709e-07,1.9161567437142856e-08,1.5658126022359900e-09,5.3329390602738900e-11,3.8146972656250000e-06,2.4818742677913569e-10,2.9982359160373543e+10
kerr_a05_l2m0_peak,2,0,5.0000000000000000e-01,5.2000000000000002e-01,240,in,inner,linear,4.0000000000000000e+01,16,6.0327526895108017e-15,7.0574858611748849e-11,5.5687181589924273e-12,2.0051822728670585e-12,3.9733849203445118e-13,6.6736533056318452e-11,8.7331796739072213e-12,6.0509965458617508e+07
