case,l,m,a,omega,N,branch,subdomain,mapping,r_match,tail_terms,coeff_tail_ratio,max_abs_residual,max_relative_residual,p95_relative_residual,median_relative_residual,condition
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,down,outer,linear,4.0000000000000000e+01,16,2.7320787527023337e-10,3.0003080434351434e-07,2.4922304296797027e-08,1.9947065613008520e-09,6.5069480135696160e-11,6.8255659694472420e+10
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,up,outer,linear,4.0000000000000000e+01,16,2.7320787527023337e-10,3.0003080434351434e-07,2.4922304296797027e-08,1.9947065613008520e-09,6.5069480135696160e-11,6.8255659694472420e+10
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,288,in,inner,linear,4.0000000000000000e+01,16,1.7265207658276526e-13,4.7824826373425821e-08,2.3631895558867044e-11,4.7614654318252596e-12,1.2255915471864178e-12,3.0235755394402909e+09
