label,l,m,a,omega,omega_h,p_horizon,N_outer,N_inner,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
schwarzschild_l0,0,0,0.0000000000000000e+00,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000001e-01,288,288,3.0000000000000000e+01,224,9.9999999999999994e-12,8.5621992638992250e-01+3.4049762473569083e+00j,-8.7426391535175396e-01-2.7500251660435673e+00j,2.1537863347550758e+01-4.4363554819814306e+00j,1.6574218794559286e+00+3.8658551657863822e+00j,2.1950428611945912e-02-5.0761572759211337e-01j,9.5964770530157020e-02-1.5356323618120277e-02j,3.2449159165177416e-01,6.7550840836016968e-01,1.0000000000119438e+00,8.7258946899165982e-02,-8.7258946895911987e-02,3.2539942962372947e-12,7.9053657285822050e-17,1.536009e+00,7.735547e+01,8.576562e+01,ok
kerr_a05_l2m2_sub,2,2,5.0000000000000000e-01,2.3999999999999999e-01,1.3397459621556135e-01,-2.7949192431122705e-02,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,3.0785795578960341e+02-2.9725172753401154e+02j,3.5769493880419850e+02+2.3492525584675471e+02j,-1.1621018072566282e+07+1.7694065086245865e+07j,8.3059956210905857e+03+2.4733441075349394e+04j,-2.6349486510557762e-01+5.9421049541752792e-02j,-1.4296989227022638e-04+3.0065052316686033e-04j,-2.3731978974128526e-06,1.0000023731980925e+00,1.0000000000001952e+00,-2.1527025914203070e-07,2.0388804215829555e-07,-1.1382216983735150e-08,5.8702879230117571e-16,4.587117e+00,8.576562e+01,8.633984e+01,ok
kerr_a05_l2m2_super,2,2,5.0000000000000000e-01,2.9999999999999999e-01,1.3397459621556135e-01,3.2050807568877293e-02,288,288,4.0000000000000000e+01,224,9.9999999999999994e-12,1.3577068988298635e+02-8.1001948046550851e+01j,1.1650643369575185e+02+1.0686836767091360e+02j,-7.6876552651293564e+05+8.3809304472033668e+05j,1.2394653028934579e+03+3.5967850578326520e+03j,-2.7573116590845309e-01+8.2460153347844956e-02j,-1.9698050961006476e-04+9.4235656846993095e-04j,1.5951892015850216e-05,9.9998404810735431e-01,9.9999999999937017e-01,1.5820620105410174e-06,-1.5820625731387316e-06,-5.6259771422601326e-13,2.9962111126158987e-16,6.193136e+00,8.633984e+01,8.669141e+01,ok
kerr_a09_l2m2_peak,2,2,9.0000000000000002e-01,5.7999999999999996e-01,3.1339450313662931e-01,-4.6789006273258660e-02,288,288,1.6000000000000000e+01,224,9.9999999999999994e-12,4.8855691122585876e+00-2.1029405262726442e+01j,1.7472600315320683e+01+1.2690334036660694e+01j,-2.3880782904635821e+03+3.2886786409431124e+03j,3.6660151620379793e+01+9.4089861926958633e+01j,-3.7203567920506558e-01-1.5720248111584248e-01j,-8.2831696537114547e-03+5.6644580773014021e-03j,-4.9703103496117978e-04,1.0004970310331969e+00,9.9999999999823574e-01,-7.8185155504509142e-05,7.8185155230431222e-05,-2.7407792019002591e-13,2.5574206715907691e-16,5.772077e+00,8.669141e+01,8.685156e+01,ok
