label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,4.0000000000000001e-02,1.3397459621556135e-01,0.0000000000000000e+00,4.0000000000000001e-02,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-8.7251356055349436e+02-2.8941743241843187e+02j,-8.9749412856703429e+02+1.9885401850065472e+02j,-7.3665304106698215e+07-3.3254717947070044e+08j,6.5935493505622493e+04+1.8527498590261070e+05j,2.2478601421162298e-01+3.7646433532926266e-01j,-1.5565320365961387e-04-1.9965374034807196e-04j,4.4164067608944707e-06,9.9999558359271001e-01,9.9999999999947087e-01,6.8919138700258080e-07,-3.9672682985592041e-05,-3.8983491598589462e-05,3.8983491598589462e-05,2.1604587478177204e-16,5.232115e+00,8.586719e+01,8.529297e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,8.0000000000000002e-02,1.3397459621556135e-01,0.0000000000000000e+00,8.0000000000000002e-02,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.6104182654459694e+02-8.7786066875698040e+01j,-1.7377227673799564e+02+5.8654302662126341e+01j,-9.0961955477717926e+05-2.6951977484117150e+06j,2.8200529689335240e+03+7.7546509533581866e+03j,3.3850402082614062e-01+3.1296742749899320e-01j,-1.0028179499642202e-03-8.8473534443721735e-04j,1.1093802080481013e-04,9.9988906197829930e-01,9.9999999999910416e-01,1.8599468800732645e-05,-3.2311295061838782e-05,-1.3711826261106137e-05,1.3711826261106137e-05,2.7070212230357665e-16,3.645317e+00,8.529297e+01,8.529688e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,1.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.2000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-5.1503887554171328e+01-3.4388768162927150e+01j,-5.6981069252134574e+01+2.4179816066946952e+01j,-4.5366118951035183e+04-1.0696205798960436e+05j,3.5179657208896850e+02+9.3860917900286927e+02j,4.0892003845395614e-01+2.6846581627691535e-01j,-3.4262245212149317e-03-2.4640730157550399e-03j,9.7309501873744811e-04,9.9902690498106306e-01,9.9999999999980049e-01,1.7851904312647933e-04,-1.7851904316353240e-04,-3.7053070030615420e-14,3.7053070030615420e-14,6.4360857342566998e-16,2.159821e+00,8.530078e+01,8.530859e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,1.7999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.7999999999999999e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.4578416210335146e+01-8.9113127120835856e+00j,-1.4926620821925594e+01+8.0873761805118907e+00j,-1.2928377234019129e+03-2.4011593592611493e+03j,3.2523813971486213e+01+8.0483570342701782e+01j,4.7219318689726364e-01+2.7553947192074102e-01j,-1.3978182128164754e-02-1.0365991813557424e-02j,1.2783547658916584e-02,9.8721645234080102e-01,9.9999999999971756e-01,2.8483064035952346e-03,-2.8483064036523846e-03,-5.7150031235186916e-14,5.7150031235186916e-14,1.4439416369004983e-16,1.652825e+00,8.531250e+01,8.533203e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,2.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.2000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-7.6022457345692214e+00-3.0564860813315948e+00j,-6.7514357309188746e+00+4.2216480357750665e+00j,-1.6899905323658123e+02-2.7817209827433965e+02j,8.9383686062714283e+00+2.0644558646903512e+01j,4.7367891712616911e-01+3.5457990500443382e-01j,-2.9075541226966390e-02-2.8759059125308357e-02j,5.5589207820481733e-02,9.4441079218116775e-01,1.0000000000016496e+00,1.4802043589389267e-02,-1.4802043588943553e-02,4.4571464574705288e-13,4.4571464574705288e-13,1.2317966352655552e-16,1.482704e+00,8.533203e+01,8.530859e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,2.5000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.5000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-4.9745256481490392e+00-8.4021404035808545e-01j,-3.8276716371503174e+00+2.6587109824472290e+00j,-4.2026599726221839e+01-6.5859523875507080e+01j,3.8149040252463773e+00+8.6046465797503444e+00j,4.0814995651915453e-01+4.5123449982960989e-01j,-4.0455675454857107e-02-6.1128212378218839e-02j,1.4663172223753076e-01,8.5336827775822233e-01,9.9999999999575306e-01,4.3956381673756241e-02,-4.3956381675019113e-02,-1.2628717516172117e-12,1.2628717516172117e-12,1.7605177609864172e-16,1.739897e+00,8.530859e+01,8.531641e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,2.8000000000000003e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.8000000000000003e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-3.3609871199566697e+00+4.2256070855796107e-01j,-2.2029142205840868e+00+1.6999735592344125e+00j,-1.1592073186201155e+01-1.8763746280416811e+01j,1.7045667406334089e+00+4.1594149210492812e+00j,2.3567848582447395e-01+5.1615876866839627e-01j,-3.0161736780431072e-02-1.1164219577934251e-01j,3.2523908201321355e-01,6.7476091798547477e-01,9.9999999999868838e-01,9.6627759921337680e-02,-9.6627759921666695e-02,-3.2901459334766514e-13,3.2901459334766514e-13,1.2501186407430801e-16,1.646905e+00,8.532422e+01,8.577344e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,3.2000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.2000000000000001e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-2.0188693559509074e+00+1.3068301749517557e+00j,-1.0699731881289734e+00+9.5223166909846846e-01j,-2.3842027122665046e+00-4.8119648487865172e+00j,5.4422419391248633e-01+1.9410007809469620e+00j,-4.4095847961631525e-02+3.8356634174578180e-01j,4.2984167829733418e-02-1.3840866415080438e-01j,6.4527732054716891e-01,3.5472267944517905e-01,9.9999999999234790e-01,1.2143757761199059e-01,-1.2143757761342504e-01,-1.4344497811791257e-12,1.4344497811791257e-12,7.2132283797821040e-17,1.518800e+00,8.577734e+01,8.577734e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,3.8000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.8000000000000000e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-8.4546824010337873e-01+1.8217395563385872e+00j,-3.6697527164551247e-01+4.0844815897035791e-01j,-3.3643504221904846e-01-1.0210704264923625e+00j,7.8667469982493299e-02+8.4640653280802647e-01j,-9.6848430949476635e-02+9.0732731740149133e-02j,9.0686127657757951e-02-5.2793230841979857e-02j,9.2525179252426515e-01,7.4748207471330125e-02,9.9999999999559530e-01,3.6090882489716175e-02,-3.6090882488845136e-02,8.7103935175747438e-13,8.7103935175747438e-13,2.9094628933090549e-16,1.448112e+00,8.578125e+01,8.578516e+01,ok
kerr_a0.5_l1m0_hires,1,0,5.0000000000000000e-01,4.5000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.5000000000000001e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-6.0177896175810382e-02+1.9399267771809112e+00j,-1.0433853400064869e-01+1.5491914912038660e-01j,-8.1149054786794170e-02-2.4696620947196216e-01j,7.9829624935160454e-03+4.8419086732455463e-01j,-3.3419247131973875e-02+1.2141462969720981e-02j,6.6161139771192881e-02-3.1447870051759088e-03j,9.9073877002733679e-01,9.2612299723453528e-03,9.9999999999968214e-01,4.1991835032496004e-03,-4.1991835032739134e-03,-2.4313016877552940e-14,2.4313016877552940e-14,0.0000000000000000e+00,1.560324e+00,8.578516e+01,8.578906e+01,ok
