label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,4.0000000000000001e-02,1.3397459621556135e-01,0.0000000000000000e+00,4.0000000000000001e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-8.7251356506277261e+02-2.8941743151923231e+02j,-8.9749413198427317e+02+1.9885402155490320e+02j,-7.3673676650043964e+07-3.3256227424654090e+08j,6.5934430768088845e+04+1.8527907289933521e+05j,2.2480235806513510e-01+3.7647938109048024e-01j,-1.5565355906362665e-04-1.9965916251363171e-04j,4.4164067224902519e-06,9.9999558359307728e-01,9.9999999999979972e-01,6.8918026674221992e-07,-2.7036051234237569e-05,-2.6346870967495349e-05,2.6346870967495349e-05,2.1604587384211039e-16,4.330599e+00,7.693750e+01,8.347656e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,8.0000000000000002e-02,1.3397459621556135e-01,0.0000000000000000e+00,8.0000000000000002e-02,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-1.6104182643508929e+02-8.7786066966609752e+01j,-1.7377227673171112e+02+5.8654302515778618e+01j,-9.0969479411577876e+05-2.6952108999954537e+06j,2.8200528744039943e+03+7.7546509492287487e+03j,3.3851574805182083e-01+3.1296346271035164e-01j,-1.0028179376936170e-03-8.8473535122094381e-04j,1.1093802086848596e-04,9.9988906197695948e-01,9.9999999999782796e-01,1.8599468198620840e-05,-1.0568042824383779e-05,8.0314253742370615e-06,8.0314253742370615e-06,2.1824702836602574e-16,2.761504e+00,8.348047e+01,8.350781e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,1.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.2000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-5.1503887554342981e+01-3.4388768160926794e+01j,-5.6981069250361472e+01+2.4179816068664000e+01j,-4.5366118953136043e+04-1.0696205798350694e+05j,3.5179657135592390e+02+9.3860918370320906e+02j,4.0892003845860742e-01+2.6846581627485688e-01j,-3.4262245297279280e-03-2.4640730341399979e-03j,9.7309501876786920e-04,9.9902690498125835e-01,1.0000000000000262e+00,1.7851904276565788e-04,-1.7851904276047894e-04,5.1789356223658212e-15,5.1789356223658212e-15,2.3903022339254856e-16,1.888841e+00,8.351172e+01,8.375781e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,1.7999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,1.7999999999999999e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-1.4578416210164528e+01-8.9113127122834577e+00j,-1.4926620821773449e+01+8.0873761807213640e+00j,-1.2928377244140781e+03-2.4011593599870280e+03j,3.2523811685884610e+01+8.0483565154232963e+01j,4.7219318715389946e-01+2.7553947193390066e-01j,-1.3978181194989954e-02-1.0365991164916637e-02j,1.2783547658978432e-02,9.8721645234162503e-01,1.0000000000006035e+00,2.8483062034588879e-03,-2.8483062033259569e-03,1.3293099260236474e-13,1.3293099260236474e-13,3.8879318433130132e-16,1.388951e+00,8.376172e+01,8.379688e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,2.2000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.2000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-7.6022457346450381e+00-3.0564860812589441e+00j,-6.7514357309392912e+00+4.2216480358208912e+00j,-1.6899905099034768e+02-2.7817210023280433e+02j,8.9383748875719657e+00+2.0644557648859642e+01j,4.7367891465397344e-01+3.5457990983083931e-01j,-2.9075551143797999e-02-2.8759053182338356e-02j,5.5589207819894959e-02,9.4441079218106871e-01,1.0000000000009637e+00,1.4802053990984386e-02,-1.4802053990722382e-02,2.6200396019415706e-13,2.6200396019415706e-13,0.0000000000000000e+00,1.169237e+00,8.379688e+01,8.381250e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,2.5000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.5000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-4.9745256481380702e+00-8.4021404027383129e-01j,-3.8276716371490807e+00+2.6587109824038855e+00j,-4.2026595540800677e+01-6.5859520473824688e+01j,3.8149058938073805e+00+8.6046530503122760e+00j,4.0814991996540179e-01+4.5123447914948883e-01j,-4.0455698195933719e-02-6.1128259644525583e-02j,1.4663172223897514e-01,8.5336827775720081e-01,9.9999999999617595e-01,4.3956403204700061e-02,-4.3956403205840468e-02,-1.1404072131071530e-12,1.1404072131071530e-12,2.6499301408248238e-16,1.329204e+00,8.385547e+01,8.388281e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,2.8000000000000003e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.8000000000000003e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-3.3609871199607539e+00+4.2256070853897765e-01j,-2.2029142205790633e+00+1.6999735592462526e+00j,-1.1592078067363037e+01-1.8763738752217112e+01j,1.7045604303684405e+00+4.1594171413943490e+00j,2.3567863458166152e-01+5.1615859216863635e-01j,-3.0161568581686213e-02-1.1164223220377893e-01j,3.2523908201289026e-01,6.7476091798638316e-01,9.9999999999927347e-01,9.6627402207508470e-02,-9.6627402207662957e-02,-1.5448753387659053e-13,1.5448753387659053e-13,2.4526916974481902e-16,1.292541e+00,8.388281e+01,8.390625e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,3.2000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.2000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-2.0188693559202737e+00+1.3068301749822357e+00j,-1.0699731881434122e+00+9.5223166907972678e-01j,-2.3842106851354496e+00-4.8119771699265508e+00j,5.4422505181088321e-01+1.9409952142232225e+00j,-4.4095848132001493e-02+3.8356739686018876e-01j,4.2983898576470170e-02-1.3840836169373111e-01j,6.4527732055208087e-01,3.5472267944705049e-01,9.9999999999913136e-01,1.2143776904432761e-01,-1.2143776904448979e-01,-1.6217582832211974e-13,1.6217582832211974e-13,7.2132283797498827e-17,1.297757e+00,8.391016e+01,8.396484e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,3.8000000000000000e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.8000000000000000e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-8.4546824008058985e-01+1.8217395563392884e+00j,-3.6697527164654037e-01+4.0844815895950509e-01j,-3.3641813996861175e-01-1.0210563628012996e+00j,7.8667592813079015e-02+8.4640976553601677e-01j,-9.6847734554177334e-02+9.0730108316015509e-02j,9.0686483252842995e-02-5.2793412588397183e-02j,9.2525179253251877e-01,7.4748207469985978e-02,1.0000000000025047e+00,3.6090938842296083e-02,-3.6090938841155676e-02,1.1404072131071530e-12,1.1404072131071530e-12,0.0000000000000000e+00,1.209751e+00,8.396875e+01,8.400391e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,4.5000000000000001e-01,1.3397459621556135e-01,0.0000000000000000e+00,4.5000000000000001e-01,false,224,4.0000000000000000e+01,160,9.9999999999999994e-12,-6.0177896159383494e-02+1.9399267771938162e+00j,-1.0433853400201520e-01+1.5491914912437413e-01j,-8.1173880719793562e-02-2.4698189162095427e-01j,7.9829193976999092e-03+4.8418939835541558e-01j,-3.3421285794052728e-02+1.2144923493936805e-02j,6.6160939126121102e-02-3.1447748830184070e-03j,9.9073877001468791e-01,9.2612299726308033e-03,9.9999999998731870e-01,4.1991608339590611e-03,-4.1991608340359778e-03,-7.6916771563073638e-14,7.6916771563073638e-14,1.8670304499739570e-16,1.178765e+00,8.400781e+01,8.401953e+01,ok
