label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,quad_order,tail_epsrel,B_inc,B_ref,A_ref_1_unit_horizon,A_hor_1_unit_horizon,A_ref_1_fixed_incident,A_hor_1_fixed_incident,T0,R0,linear_balance,T1,R1,nonlinear_balance,abs_nonlinear_balance,wronskian_relative_error,elapsed_s,rss_mb_before,rss_mb_after,status
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,2.9999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,2.9999999999999999e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-2.6071910388831085e+00+9.4694172578111191e-01j,-1.5328971185974991e+00+1.2697713815811473e+00j,-5.1596190243128319e+00-9.1100012408566080e+00j,9.8027972153066578e-01+2.7721896574111073e+00j,8.1511563840174620e-02+4.8374063656114585e-01j,1.1710427506473543e-03-1.3776886399951366e-01j,4.8505082971307067e-01,5.1494917028669485e-01,9.9999999999976552e-01,1.2359672707503394e-01,-1.2359672707491796e-01,1.1597667270990542e-13,1.1597667270990542e-13,4.0576977448264631e-16,1.342648e+00,7.683203e+01,8.356250e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,3.4000000000000002e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.4000000000000002e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.5484549794435378e+00+1.5516569224025194e+00j,-7.4837156658797699e-01+7.1640855583104901e-01j,-1.1554677998200256e+00-2.7250696608566969e+00j,2.9140652923292731e-01+1.4151103856869773e+00j,-1.0563164112540872e-01+2.6037984630282263e-01j,7.5549136111448006e-02-1.1447537838910421e-01j,7.7664462159380954e-01,2.2335537838767019e-01,9.9999999998147970e-01,9.4194686382091872e-02,-9.4194686384299384e-02,-2.2075119510134300e-12,2.2075119510134300e-12,1.4895967240213438e-16,1.257156e+00,8.356250e+01,8.362109e+01,ok
kerr_a0.5_l1m0,1,0,5.0000000000000000e-01,3.5999999999999999e-01,1.3397459621556135e-01,0.0000000000000000e+00,3.5999999999999999e-01,false,240,4.0000000000000000e+01,192,9.9999999999999994e-12,-1.1644555253970494e+00+1.7154265593257683e+00j,-5.2400255006871166e-01+5.4038455844546596e-01j,-5.9835349543674043e-01-1.6315892920942903e+00j,1.5223450349819578e-01+1.0727594738569293e+00j,-1.1376100961072866e-01+1.5836613632989974e-01j,8.9995585486809165e-02-8.1734999976909431e-02j,8.6819238389103992e-01,1.3180761610564010e-01,9.9999999999667999e-01,6.1493255668734037e-02,-6.1493255668848300e-02,-1.1426276591564033e-13,1.1426276591564033e-13,1.4874485105361354e-16,1.239041e+00,8.362500e+01,8.364844e+01,ok
